En esta lista se detallan los «términos compuestos» que la herramienta [[Usuario:Benjavalero/Replacer|Replacer]] detecta como potencialmente erróneos.

El formato es el mismo que el del [[Wikipedia:Corrector ortográfico/Listado|listado de términos simples]], con la salvedad de que este listado extiende al anterior con términos o expresiones que contienen caracteres no alfabéticos: espacios, números, etc. Las recomendaciones aplican igualmente.
<!-- Procurar el orden alfabético -->

{{Índice|num=sí|sim=sí}}
 co creo||cocreó (3.ª persona), cocreo (1.ª persona)
 co-creo||cocreó (3.ª persona), cocreo (1.ª persona)
 co creó||cocreó (3.ª persona), cocreo (1.ª persona)
 co-creó||cocreó (3.ª persona), cocreo (1.ª persona)
 co descubridor||codescubridor
 co-descubridor||codescubridor
 co descubridora||codescubridora
 co-descubridora||codescubridora
 co descubridoras||codescubridoras
 co-descubridoras||codescubridoras
 co descubridores||codescubridores
 co-descubridores||codescubridores
 co direccion||codirección
 co-direccion||codirección
 co dirección||codirección
 co-dirección||codirección
 co director||codirector
 co-director||codirector
 co directora||codirectora
 co-directora||codirectora
 co directoras||codirectoras
 co-directoras||codirectoras
 co directores||codirectores
 co-directores||codirectores
 co dirige||codirige
 co-dirige||codirige
 co dirigen||codirigen
 co-dirigen||codirigen
 co dirigida||codirigida
 co-dirigida||codirigida
 co dirigidas||codirigidas
 co-dirigidas||codirigidas
 co dirigido||codirigido
 co-dirigido||codirigido
 co dirigidos||codirigidos
 co-dirigidos||codirigidos
 co dirigiendo||codirigiendo
 co-dirigiendo||codirigiendo
 co dirigieron||codirigieron
 co-dirigieron||codirigieron
 co dirigio||codirigió
 co-dirigio||codirigió
 co dirigió||codirigió
 co-dirigió||codirigió
 co dirigir||codirigir
 co-dirigir||codirigir
 co dirija||codirija
 co-dirija||codirija
 co dirijan||codirijan
 co-dirijan||codirijan
 co diseñada||codiseñada
 co-diseñada||codiseñada
 co diseñadas||codiseñadas
 co-diseñadas||codiseñadas
 co diseñado||codiseñado
 co-diseñado||codiseñado
 co diseñador||codiseñador
 co-diseñador||codiseñador
 co diseñadora||codiseñadora
 co-diseñadora||codiseñadora
 co diseñadoras||codiseñadoras
 co-diseñadoras||codiseñadoras
 co diseñadores||codiseñadores
 co-diseñadores||codiseñadores
 co diseñados||codiseñados
 co-diseñados||codiseñados
 co diseñando||codiseñando
 co-diseñando||codiseñando
 co diseñar||codiseñar
 co-diseñar||codiseñar
 co diseñaron||codiseñaron
 co-diseñaron||codiseñaron
 co diseño||codiseño (1.ª persona), codiseñó (3.ª persona)
 co-diseño||codiseño (1.ª persona), codiseñó (3.ª persona)
 co diseñó||codiseñó (3.ª persona), codiseño (1.ª persona)
 co-diseñó||codiseñó (3.ª persona), codiseño (1.ª persona)
 co edicion||coedición
 co-edicion||coedición
 co edición||coedición
 co-edición||coedición
 co ediciones||coediciones
 co-ediciones||coediciones
 co edita||coedita
 co-edita||coedita
 co editada||coeditada
 co-editada||coeditada
 co editadas||coeditadas
 co-editadas||coeditadas
 co editado||coeditado
 co-editado||coeditado
 co editados||coeditados
 co-editados||coeditados
 co editan||coeditan
 co-editan||coeditan
 co editando||coeditando
 co-editando||coeditando
 co editar||coeditar
 co-editar||coeditar
 co editaron||coeditaron
 co-editaron||coeditaron
 co edito||coeditó (3.ª persona), coedito (1.ª persona)
 co-edito||coeditó (3.ª persona), coedito (1.ª persona)
 co editó||coeditó (3.ª persona), coedito (1.ª persona)
 co-editó||coeditó (3.ª persona), coedito (1.ª persona)
 co editor||coeditor
 co-editor||coeditor
 co editora||coeditora
 co-editora||coeditora
 co editoras||coeditoras
 co-editoras||coeditoras
 co editores||coeditores
 co-editores||coeditores
 co escriba||coescriba
 co-escriba||coescriba
 co escriban||coescriban
 co-escriban||coescriban
 co escribe||coescribe
 co-escribe||coescribe
 co escriben||coescriben
 co-escriben||coescriben
 co escribiendo||coescribiendo
 co-escribiendo||coescribiendo
 co escribieron||coescribieron
 co-escribieron||coescribieron
 co escribio||coescribió
 co-escribio||coescribió
 co escribió||coescribió
 co-escribió||coescribió
 co escribir||coescribir
 co-escribir||coescribir
 co escrita||coescrita
 co-escrita||coescrita
 co escritas||coescritas
 co-escritas||coescritas
 co escrito||coescrito
